Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Jennifer Jones,Jockstrap,"£8,231",18-Aug-21,August,Q2,North,Liverpool,Theatre,"£15,000 and below"
Mafwa Theatre CIC,The Journey,"£9,657",18-Aug-21,August,Q2,North,Leeds,Dance,"£15,000 and below"
Cameron Abbott-Betts,Colchester Fringe: Colchester Young Fringer Development Programme,"£15,000",18-Aug-21,August,Q2,South East,Colchester,Theatre,"£15,000 and below"
The Young Blood Theatre,The Young Blood Theatre Festival Online,"£9,460",18-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Torbay Museums Trust,Made to be Played,"£14,340",18-Aug-21,August,Q2,South West,Torbay,Museums,"£15,000 and below"
Marie Cassidy,Autumn Tour 2021,"£11,212",18-Aug-21,August,Q2,South West,East Devon,Theatre,"£15,000 and below"
Reve(a)l Productions CIC,SAFE SPACE SCARY PLACE (PHASE 1),"£8,710",18-Aug-21,August,Q2,South West,South Somerset,Theatre,"£15,000 and below"
Rachel Brogan,"If I Told You, You Wouldn't Believe Me","£15,000",18-Aug-21,August,Q2,North,Stockport,Literature,"£15,000 and below"
Harry Clayton-Wright,Mr Blackpool R&D,"£15,999",18-Aug-21,August,Q2,North,Wyre,Theatre,"£15,000 and below"
Dot Howard,Adaptations – A Habitat,"£15,000",18-Aug-21,August,Q2,South East,Norwich,Visual arts,"£15,000 and below"
Pins and Needles Productions Ltd,"OZ - a bold, new adaptation for 2021","£14,866",18-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
High Stile Projects,What I Learnt From My Grandmother,"£15,000",18-Aug-21,August,Q2,South East,Uttlesford,Combined arts,"£15,000 and below"
Kevin Wratten,FeelPlay - Production and Premiere tour,"£16,750",18-Aug-21,August,Q2,London,Camden,Theatre,"£15,000 and below"
Sohaya Visions,breaDth,"£15,000",18-Aug-21,August,Q2,South East,Crawley,Theatre,"£15,000 and below"
Charlie Tilley,RECAST,"£11,000",18-Aug-21,August,Q2,North,Leeds,Music,"£15,000 and below"
Spinning Wheel Theatre,Co-Lab:East,"£14,985",18-Aug-21,August,Q2,South East,Mid Suffolk,Theatre,"£15,000 and below"
Folio Theatre Ltd,Reel Life - Digital Tour,"£14,978",18-Aug-21,August,Q2,South West,Wiltshire,Theatre,"£15,000 and below"
Sarah Heneghan,Power Out,"£11,094",18-Aug-21,August,Q2,North,Sheffield,Music,"£15,000 and below"
Dawn Irving,Women Working Class South Meets North,"£17,000",18-Aug-21,August,Q2,South East,Hastings,Visual arts,"£15,000 and below"
Edwin Woodhouse & Co Ltd,Definitions of Drawing,"£14,435",18-Aug-21,August,Q2,North,Leeds,Visual arts,"£15,000 and below"
Hive South Yorkshire,Hive21/22 New Directions,"£14,999",18-Aug-21,August,Q2,North,Sheffield,Literature,"£15,000 and below"
Blackburn with Darwen Libraries,Working title: Mr Pomfret's Pieces,"£15,000",18-Aug-21,August,Q2,North,Blackburn with Darwen,Libraries,"£15,000 and below"
Todmorden Book Festival,Todmorden Book Festival 2021,"£10,500",18-Aug-21,August,Q2,North,Calderdale,Literature,"£15,000 and below"
Test Valley Borough Council,Test Valley Creative recovery commissions,"£15,000",18-Aug-21,August,Q2,South West,Test Valley,Combined arts,"£15,000 and below"
Manchester Collective,Manchester Collective 2021-22 Season,"£94,686",19-Aug-21,August,Q2,North,Manchester,Music,National Activity Under £100k
Pickled Image,"Touring, Teaching and R&D","£53,305",19-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,National Activity Under £100k
Hannah Goudie-Hunter,The Tin Foil Astronaut upscale and digital engagement,"£28,671",19-Aug-21,August,Q2,North,County Durham,Theatre,National Activity Under £100k
Figs in Wigs,"Figs in Wigs Little Wimmin, Big Finish & Astrology Bingo 21-22","£79,500",19-Aug-21,August,Q2,South East,Norwich,Theatre,National Activity Under £100k
Towns End Touring Productions,“WORK-IN” - A touring play reflecting the lived experience of shipbuilding communities across the UK,"£39,000",19-Aug-21,August,Q2,South East,Bedford,Theatre,National Activity Under £100k
Catherine Turner,Not A Fair COP 26,"£40,850",19-Aug-21,August,Q2,South East,Colchester,Music,National Activity Under £100k
64 Million Artists,The January challenge 2022,"£60,500",19-Aug-21,August,Q2,London,Islington,Combined arts,National Activity Under £100k
Dean Blair,MC Fizzy Freestyle Challenge Album Tour,"£40,000",19-Aug-21,August,Q2,London,Lambeth,Music,National Activity Under £100k
The Riot Ensemble,Riot Projects: Sept 21 - May 22,"£32,000",19-Aug-21,August,Q2,London,Lambeth,Music,National Activity Under £100k
Southpaw Dance Company,Speakeasy - Creation and Regional Premiere,"£49,350",19-Aug-21,August,Q2,North,Newcastle upon Tyne,Dance,National Activity Under £100k
Phizzical Productions,Bombay Superstar,"£99,905",19-Aug-21,August,Q2,Midlands,Coventry,Theatre,National Activity Under £100k
Pagrav Dance Company,Remount and Tour of Kattam Katti,"£78,932",19-Aug-21,August,Q2,South East,Milton Keynes,Dance,National Activity Under £100k
Alexander Jovčić-Sas,Eight to Infinite,"£3,970",20-Aug-21,August,Q2,Midlands,Nottingham,Music,"£15,000 and below"
Clark Tracey,Clark Tracey 60th birthday tour,"£6,830",24-Aug-21,August,Q2,Midlands,North Northamptonshire,Music,"£15,000 and below"
paul michelmore,The Harrison: Reconnection,"£14,855",24-Aug-21,August,Q2,London,Camden,Music,Grassroots Music
60 Miles by Road or Rail,Photo Stories Exhibition,"£15,000",24-Aug-21,August,Q2,Midlands,West Northamptonshire,Visual arts,"£15,000 and below"
Sajida Asif,This Hijabi Can,"£15,000",24-Aug-21,August,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below"
Polly Jerrold,Artist Development - Talking Bodies,"£25,601",24-Aug-21,August,Q2,London,Waltham Forest,Combined arts,"£15,000 and below"
Theatre Ad Infinitum,The Long Lie,"£73,653",24-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"Over £15,000"
Confetti Constellations Ltd,Reaching Out - Nottingham Poetry Festival,"£15,000",24-Aug-21,August,Q2,Midlands,Nottingham,Literature,"£15,000 and below"
BÉZNĂ Theatre,wipe these tears - December R&D / Sharing,"£16,399",24-Aug-21,August,Q2,Midlands,West Lindsey,Theatre,"£15,000 and below"
With One Voice - international arts and homelessness movement,Arts and Homelessness Summit at Coventry City of Culture,"£13,541",24-Aug-21,August,Q2,London,Hackney,Combined arts,"£15,000 and below"
The Other Way Works,Green Shoots Prototype 21/22,"£14,999",24-Aug-21,August,Q2,Midlands,Birmingham,Combined arts,"£15,000 and below"
FTM Dance,And It Was All A Dream,"£15,000",24-Aug-21,August,Q2,Midlands,Leicester,Theatre,"£15,000 and below"
Paul Finlay,MOIST BOOKS: 3 New Titles,"£6,410",24-Aug-21,August,Q2,Midlands,Rushcliffe,Literature,"£15,000 and below"
Prime Skate Park,PrimeDesign Youth Forum,"£49,323",24-Aug-21,August,Q2,South West,Plymouth,Visual arts,"Over £15,000"
Ramshacklicious,Club Supreme - Live performance creation and presentation,"£49,990",24-Aug-21,August,Q2,South West,Bath and North East Somerset,Theatre,"Over £15,000"
Lowri James,Too Much,"£14,997",25-Aug-21,August,Q2,London,Southwark,Theatre,"£15,000 and below"
Magpie Dance,Global Moves and Grooves,"£44,263",25-Aug-21,August,Q2,London,Bromley,Dance,"Over £15,000"
Surtal Arts,Derby Season of Light,"£18,182",25-Aug-21,August,Q2,Midlands,Derby,Combined arts,"Over £15,000"
The Factory of Creativity,The Wiz,"£47,890",25-Aug-21,August,Q2,North,Manchester,Theatre,"Over £15,000"
Linzy Na Nakorn,Political Movement,"£10,100",25-Aug-21,August,Q2,South West,"Bristol, City of",Dance,"£15,000 and below"
Out Loud Music CIC,Sound City Ipswich 2021,"£49,950",25-Aug-21,August,Q2,South East,Ipswich,Music,"Over £15,000"
Upstart Projects,Young Arts Reviewers programme,"£39,580",25-Aug-21,August,Q2,Midlands,Shropshire,Combined arts,"Over £15,000"
2Funky Arts,And Still I Rise 2021,"£45,300",25-Aug-21,August,Q2,Midlands,Leicester,Music,"Over £15,000"
Manchester Mega Mela,Manchester Mega Mela 2021,"£49,500",25-Aug-21,August,Q2,North,Manchester,Combined arts,"Over £15,000"
Two Queens,Two Queens 2022 programme,"£49,133",25-Aug-21,August,Q2,Midlands,Leicester,Visual arts,"Over £15,000"
Tameside Cultural Services,Northern Lights - Tameside Winter Carnival,"£32,000",25-Aug-21,August,Q2,North,Tameside,Combined arts,"Over £15,000"
Daryl Beeton Productions,Formulating the Future,"£27,494",25-Aug-21,August,Q2,London,Islington,Theatre,"Over £15,000"
Nouveau Riche Productions,For Black Boys Who Have Considered Suicide When The Hue Got Too Heavy,"£38,500",25-Aug-21,August,Q2,South East,Medway,Theatre,"Over £15,000"
BEEE Creative CIC,Dance Re:Ignite 3.0,"£49,830",25-Aug-21,August,Q2,South East,Central Bedfordshire,Dance,"Over £15,000"
Jez Dolan,Jarman PROTEST Artist in Residence,"£23,703",25-Aug-21,August,Q2,North,Trafford,Visual arts,"Over £15,000"
Sensoria Festival,Better Together. Sensoria 2021 - 2022.,"£93,800",25-Aug-21,August,Q2,North,Sheffield,Combined arts,"Over £15,000"
Caitlin Evans,BURNOUT: Research and Development Phase 2 with Camden People's Theatre,"£14,997",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
Burning Pages Theatre Company,PRIDE,"£7,034",25-Aug-21,August,Q2,London,Camden,Theatre,"£15,000 and below"
Liam O'Shea,(reapplication) - No Bounds Festival 2021,"£15,000",25-Aug-21,August,Q2,North,Sheffield,Combined arts,"£15,000 and below"
Kash Patel,Diwali in Middlesbrough 2021,"£15,000",25-Aug-21,August,Q2,North,Middlesbrough,Combined arts,"£15,000 and below"
Julia Cheng,House of Absolute Strategic Planning,"£14,792",25-Aug-21,August,Q2,South East,Luton,Dance,"£15,000 and below"
The Performance Ensemble,Bus Pass R & D Project,"£15,000",25-Aug-21,August,Q2,North,Leeds,Theatre,"£15,000 and below"
Emma Alrai,Capture,"£12,934",25-Aug-21,August,Q2,North,Leeds,Visual arts,"£15,000 and below"
laura callegaro,Meatspace,"£5,346",25-Aug-21,August,Q2,London,Southwark,Visual arts,"£15,000 and below"
Reprezent Project,Street Gallery Walls - Out There,"£15,000",25-Aug-21,August,Q2,South East,Great Yarmouth,Visual arts,"£15,000 and below"
BlackBox Theatre Company,Abigail's Party Tour,"£14,339",25-Aug-21,August,Q2,South West,Fareham,Theatre,"£15,000 and below"
Yarli Allison Lam,LOST CHINATOWN 1925 BRITAN COLONIAL (VR+DRAWING installation),"£6,525",25-Aug-21,August,Q2,London,Tower Hamlets,Visual arts,"£15,000 and below"
Andrea Spisto,Tylor and Vincent: TV/TV/TV (R+D and Workshops),"£14,080",25-Aug-21,August,Q2,South East,Thanet,Theatre,"£15,000 and below"
BRASH Theatre Company Ltd,Raising Shame Schools and Theatre Tour,"£15,250",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
This is Wyld,Reframing Magic - community consultation workshops and exhibition,"£14,700",25-Aug-21,August,Q2,South East,Brighton and Hove,Museums,"£15,000 and below"
Lisa Pettibone,Collect Open Project 2022,"£6,535",25-Aug-21,August,Q2,South East,Guildford,Visual arts,"£15,000 and below"
Abbie Harding,Raven 2021,"£11,877",25-Aug-21,August,Q2,North,Liverpool,Theatre,"£15,000 and below"
Alyona Larionova,Pioneers,"£10,908",25-Aug-21,August,Q2,London,Hammersmith and Fulham,Combined arts,"£15,000 and below"
Heather Agyepong,The Body Remembers Autumn UK Tour,"£15,000",25-Aug-21,August,Q2,London,Southwark,Theatre,"£15,000 and below"
George Williamson,How Queerness Moves,"£15,000",25-Aug-21,August,Q2,London,Tower Hamlets,Dance,"£15,000 and below"
Subira Wahogo,Kill The Cop Inside Your Head Production & Premiere,"£19,150",25-Aug-21,August,Q2,South East,Brighton and Hove,Theatre,"£15,000 and below"
Nigel Price,Nigel Price Tour - 2021,"£9,010",25-Aug-21,August,Q2,South East,Epsom and Ewell,Music,"£15,000 and below"
JuliaMarcuson,Untold Stories of the Holocaust from the Corners of Europe,"£15,000",25-Aug-21,August,Q2,London,Southwark,Museums,"£15,000 and below"
Kathleen Jackson,This Our Hive of Voices + Acquisition Toolkit,"£16,994",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Visual arts,"£15,000 and below"
Loud and Clear productions,10 x 10 expansion and consolidation,"£9,100",25-Aug-21,August,Q2,South West,Wiltshire,Literature,"£15,000 and below"
TOMA (The Other MA),TOMA organisation development & public programme,"£15,937",25-Aug-21,August,Q2,South East,Southend-on-Sea,Visual arts,"£15,000 and below"
Rob Tompsett,Rob T - Making People Happy!,"£13,860",25-Aug-21,August,Q2,South East,Maidstone,Music,"£15,000 and below"
Unscene Suffolk Limited,Unscene Workshops,"£18,850",25-Aug-21,August,Q2,South East,Ipswich,Theatre,"£15,000 and below"
SCOTTEE & FRIENDS LTD,Risk R&D and Performance,"£14,992",25-Aug-21,August,Q2,South East,Southend-on-Sea,Theatre,"£15,000 and below"
Katherine Hollinson,Would you care to...,"£11,217",25-Aug-21,August,Q2,North,Bury,Dance,"£15,000 and below"
Hannah Sowerby,10 Things to do in a Small Cumbrian Town - 3 week run at Alphabetti Theatre 2021,"£15,000",25-Aug-21,August,Q2,North,Eden,Theatre,"£15,000 and below"
Belinda Lazenby,Wishes Fulfilled part 2,"£14,500",25-Aug-21,August,Q2,South West,Cornwall,Theatre,"£15,000 and below"
Kevin Enzo Walker,The Singles Project,"£15,000",25-Aug-21,August,Q2,London,Westminster,Music,"£15,000 and below"
The Association of the Unknown Shore,Regalia,"£15,000",25-Aug-21,August,Q2,South West,"Bristol, City of",Visual arts,"£15,000 and below"
T.H.I.S,T.H.I.Studios workshop programme,"£5,775",25-Aug-21,August,Q2,London,Haringey,Combined arts,"£15,000 and below"
PRAH Foundation,PRAH Studio Residencies,"£14,668",25-Aug-21,August,Q2,South East,Thanet,Music,"£15,000 and below"
Sunderland BID,Sunderland Halloween Parade,"£11,699",25-Aug-21,August,Q2,North,Sunderland,Combined arts,"£15,000 and below"
Kesty Morrison,"Oak, Old Dewer and The Tarr Steps","£15,000",25-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Lancaster Jazz Festival,LJF - Digital Micro-Commissions & Organisational Capacity,"£14,905",25-Aug-21,August,Q2,North,Wyre,Music,"£15,000 and below"
Kielder Water & Forest Park Development Trust,Post Covid projects 2,"£49,900",25-Aug-21,August,Q2,North,Northumberland,Combined arts,"Over £15,000"
Kala The Arts,Deepali,"£14,850",25-Aug-21,August,Q2,South West,Basingstoke and Deane,Combined arts,"£15,000 and below"
Balladeste,'Beyond Breath' Legacy - New Content Creation and Tour Planning,"£14,784",25-Aug-21,August,Q2,South East,Oxford,Music,"£15,000 and below"
Tyneside Irish Cultural Society,Tyneside Irish Festival 2021,"£12,355",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Combined arts,"£15,000 and below"
hARTslane,Come Dine in Blue,"£15,000",25-Aug-21,August,Q2,London,Lewisham,Visual arts,"£15,000 and below"
Alphabetti Theatre,01/10/2021 - 31/03/2022,"£37,500",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Theatre,"Over £15,000"
Helen Barker,Doggerland,"£6,470",25-Aug-21,August,Q2,London,Lambeth,Theatre,"£15,000 and below"
Miray Sidhom,THE BREAD WE BREAK,"£14,416",25-Aug-21,August,Q2,South East,Oxford,Theatre,"£15,000 and below"
Sarah Dobai,The Donkey Field: audience development,"£10,209",25-Aug-21,August,Q2,London,Southwark,Visual arts,"£15,000 and below"
REBECA OMORDIA,The African Concert Series London 2022,"£15,000",25-Aug-21,August,Q2,London,Bromley,Music,"£15,000 and below"
Plymouth College of Art,MIRROR - Give & Takeover,"£15,000",25-Aug-21,August,Q2,South West,Plymouth,Combined arts,"£15,000 and below"
Prison Radio Association,Big Read in Durham Prisons,"£9,250",25-Aug-21,August,Q2,London,Lambeth,Literature,"£15,000 and below"
Barnaby Francis,EcoBot.Net,"£45,648",25-Aug-21,August,Q2,North,Manchester,Visual arts,"Over £15,000"
Blackheath Halls,Relaunching Blackheath Halls Youth Choir,"£14,920",25-Aug-21,August,Q2,London,Greenwich,Music,"£15,000 and below"
Skipton Music Festival Association,Skipton Music Festival Centenary,"£6,648",25-Aug-21,August,Q2,North,Craven,Music,"£15,000 and below"
Dens and Signals,Animals Devising and Rehearsals,"£14,990",25-Aug-21,August,Q2,South East,Hastings,Theatre,"£15,000 and below"
Gareth Chambers,THE REVENGE OF POPPERFACE,"£14,982",25-Aug-21,August,Q2,North,"Kingston upon Hull, City of",Dance,"£15,000 and below"
Blackstage Pole,Blackstage Pole Showcase,"£15,000",25-Aug-21,August,Q2,London,Bromley,Dance,"£15,000 and below"
Lou Cope,Downtime Season 2,"£15,000",25-Aug-21,August,Q2,South East,Brighton and Hove,Dance,"£15,000 and below"
Debbie Harbin,Sleep: in Progress,"£14,969",25-Aug-21,August,Q2,North,Stockton-on-Tees,Dance,"£15,000 and below"
Kayd Somali Arts and Culture,Somali Week Festival 2021,"£35,000",25-Aug-21,August,Q2,London,Tower Hamlets,Combined arts,"Over £15,000"
Gareth Woodward,Xzibit Young Creatives 2021-22,"£94,749",25-Aug-21,August,Q2,Midlands,Broxtowe,Dance,"Over £15,000"
Charlie Bramley,Wild Pop: reconnecting communities with live music,"£10,000",25-Aug-21,August,Q2,North,Newcastle upon Tyne,Music,Grassroots Music
Jacob Mee,Disco In The Basement two,"£14,980",25-Aug-21,August,Q2,South East,Brighton and Hove,Music,Grassroots Music
Pierre Shaw,Active Works,"£6,592",31-Aug-21,August,Q2,London,Haringey,Combined arts,"£15,000 and below"
VoiceChoice,Opera For Learning,"£15,000",31-Aug-21,August,Q2,Midlands,Nottingham,Music,"£15,000 and below"
Midlands World Music Consortium,Professional Development and New Opportunities,"£14,200",31-Aug-21,August,Q2,Midlands,Birmingham,Music,"£15,000 and below"
Black Artist Database,Developing BAD - July 2021,"£15,000",31-Aug-21,August,Q2,London,Southwark,Music,"£15,000 and below"
Kalakar Ltd,Aktari: The Musical - Life & Times,"£15,000",31-Aug-21,August,Q2,London,Greenwich,Theatre,"£15,000 and below"
Worcester Mela,Worcester Mela,"£14,750",31-Aug-21,August,Q2,Midlands,Worcester,Combined arts,"£15,000 and below"
Sahyadri Friends Group,Abundance - Carnival of lights,"£9,595",31-Aug-21,August,Q2,Midlands,Coventry,Dance,"£15,000 and below"
Selene States,Delineate,"£9,000",31-Aug-21,August,Q2,Midlands,Charnwood,Visual arts,"£15,000 and below"
Amisha Patel,Abundance by Coventry City  OF Culture Trust,"£2,395",31-Aug-21,August,Q2,Midlands,Coventry,Dance,"£15,000 and below"
Ben Fredericks,Choosing Children - Development Showcase,"£16,048",31-Aug-21,August,Q2,Midlands,Charnwood,Theatre,"£15,000 and below"
